Month,U.S. Crude Oil First Purchase Price Dollars per Barrel
Sep 2022,84.59
Aug 2022,93.76
Jul 2022,100.84
Jun 2022,113.77
May 2022,108.29
Apr 2022,103.32
Mar 2022,107.07
Feb 2022,89.41
Jan 2022,80.33
Dec 2021,70.56
Nov 2021,76.45
Oct 2021,78.51
Sep 2021,69.09
Aug 2021,65.68
Jul 2021,70.12
Jun 2021,68.58
May 2021,62.8
Apr 2021,59.87
Mar 2021,60.43
Feb 2021,56.44
Jan 2021,49.47
Dec 2020,43.92
Nov 2020,38.25
Oct 2020,36.39
Sep 2020,36.82
Aug 2020,39.37
Jul 2020,37.44
Jun 2020,33.81
May 2020,18.02
Apr 2020,15.18
Mar 2020,31.01
Feb 2020,49.66
Jan 2020,56.55
Dec 2019,58.41
Nov 2019,54.96
Oct 2019,53.14
Sep 2019,55.14
Aug 2019,53.63
Jul 2019,56.47
Jun 2019,54.34
May 2019,59.73
Apr 2019,63
Mar 2019,57.46
Feb 2019,52.6
Jan 2019,48
Dec 2018,47.63
Nov 2018,55.65
Oct 2018,65.18
Sep 2018,63.54
Aug 2018,62.64
Jul 2018,67
Jun 2018,62.8
May 2018,66.16
Apr 2018,63.5
Mar 2018,60.68
Feb 2018,61.18
Jan 2018,62.25
Dec 2017,56.98
Nov 2017,55.19
Oct 2017,49.12
Sep 2017,47.17
Aug 2017,44.96
Jul 2017,43.42
Jun 2017,42.17
May 2017,45.19
Apr 2017,47.23
Mar 2017,46.39
Feb 2017,49.41
Jan 2017,48.19
Dec 2016,47.12
Nov 2016,41.65
Oct 2016,45
Sep 2016,40.55
Aug 2016,40.46
Jul 2016,40.71
Jun 2016,43.96
May 2016,41.02
Apr 2016,35.59
Mar 2016,31.87
Feb 2016,25.52
Jan 2016,27.02
Dec 2015,32.26
Nov 2015,38.19
Oct 2015,42.34
Sep 2015,41.6
Aug 2015,39.98
Jul 2015,47.7
Jun 2015,55.88
May 2015,54.38
Apr 2015,49.3
Mar 2015,42.66
Feb 2015,44.35
Jan 2015,43.06
Dec 2014,54.86
Nov 2014,71.07
Oct 2014,78.84
Sep 2014,86.87
Aug 2014,90.72
Jul 2014,96.7
Jun 2014,98.68
May 2014,95.74
Apr 2014,96.49
Mar 2014,96.17
Feb 2014,96.86
Jan 2014,89.57
Dec 2013,91.85
Nov 2013,88.7
Oct 2013,96.18
Sep 2013,102.32
Aug 2013,102.96
Jul 2013,101.41
Jun 2013,93.82
May 2013,94.75
Apr 2013,94.41
Mar 2013,95.54
Feb 2013,95.01
Jan 2013,95
Dec 2012,89.81
Nov 2012,89.64
Oct 2012,92.24
Sep 2012,95.98
Aug 2012,92.53
Jul 2012,86.1
Jun 2012,83.59
May 2012,95.57
Apr 2012,103.62
Mar 2012,105.42
Feb 2012,102.04
Jan 2012,98.99
Dec 2011,98.71
Nov 2011,100.18
Oct 2011,92.28
Sep 2011,90.22
Aug 2011,89
Jul 2011,97.82
Jun 2011,97.3
May 2011,102.46
Apr 2011,108.8
Mar 2011,99.19
Feb 2011,86.69
Jan 2011,85.66
Dec 2010,83.98
Nov 2010,79.2
Oct 2010,76.02
Sep 2010,71.23
Aug 2010,72.07
Jul 2010,71.37
Jun 2010,70.77
May 2010,70.91
Apr 2010,78.8
Mar 2010,75.77
Feb 2010,72.74
Jan 2010,72.87
Dec 2009,70.42
Nov 2009,71.99
Oct 2009,69.82
Sep 2009,65.28
Aug 2009,65.28
Jul 2009,60.44
Jun 2009,63.09
May 2009,52.67
Apr 2009,45.19
Mar 2009,42.45
Feb 2009,34.14
Jan 2009,35
Dec 2008,36.8
Nov 2008,53.67
Oct 2008,73.18
Sep 2008,98.5
Aug 2008,112.83
Jul 2008,128.08
Jun 2008,127.47
May 2008,118.55
Apr 2008,106.64
Mar 2008,98.44
Feb 2008,89.41
Jan 2008,87.06
Dec 2007,85.28
Nov 2007,87.16
Oct 2007,79.32
Sep 2007,73.27
Aug 2007,67.77
Jul 2007,69.23
Jun 2007,62.35
May 2007,58.9
Apr 2007,58.2
Mar 2007,54.95
Feb 2007,52.94
Jan 2007,49.32
Dec 2006,55.03
Nov 2006,52.42
Oct 2006,53.26
Sep 2006,59.37
Aug 2006,67.21
Jul 2006,67.71
Jun 2006,64.65
May 2006,64.4
Apr 2006,62.52
Mar 2006,55.64
Feb 2006,55.69
Jan 2006,57.85
Dec 2005,53.24
Nov 2005,53.2
Oct 2005,56.99
Sep 2005,59.64
Aug 2005,58.9
Jul 2005,53.35
Jun 2005,49.83
May 2005,44.03
Apr 2005,47.26
Mar 2005,47.56
Feb 2005,42.19
Jan 2005,40.18
Dec 2004,38.22
Nov 2004,42.85
Oct 2004,46.14
Sep 2004,40.56
Aug 2004,40.1
Jul 2004,36.54
Jun 2004,34.53
May 2004,35.73
Apr 2004,33.2
Mar 2004,32.86
Feb 2004,31.21
Jan 2004,30.35
Dec 2003,28.53
Nov 2003,27.21
Oct 2003,26.53
Sep 2003,25.23
Aug 2003,27.94
Jul 2003,27.52
Jun 2003,26.84
May 2003,24.95
Apr 2003,25.45
Mar 2003,30.1
Feb 2003,31.85
Jan 2003,28.42
Dec 2002,25.29
Nov 2002,23.38
Oct 2002,25.29
Sep 2002,26.08
Aug 2002,24.76
Jul 2002,23.51
Jun 2002,22.59
May 2002,23.51
Apr 2002,22.52
Mar 2002,20.28
Feb 2002,16.93
Jan 2002,15.89
Dec 2001,15.54
Nov 2001,16.4
Oct 2001,18.73
Sep 2001,22.37
Aug 2001,23.08
Jul 2001,22.82
Jun 2001,23.43
May 2001,24.06
Apr 2001,23.39
Mar 2001,22.98
Feb 2001,25.27
Jan 2001,24.64
Dec 2000,24.46
Nov 2000,30.36
Oct 2000,29.65
Sep 2000,29.72
Aug 2000,27.91
Jul 2000,26.81
Jun 2000,27.62
May 2000,25.58
Apr 2000,23.2
Mar 2000,26.19
Feb 2000,25.48
Jan 2000,23.53
Dec 1999,22.55
Nov 1999,21.35
Oct 1999,19.71
Sep 1999,20.03
Aug 1999,17.58
Jul 1999,16.12
Jun 1999,14.39
May 1999,13.92
Apr 1999,12.82
Mar 1999,10.76
Feb 1999,8.6
Jan 1999,8.57
Dec 1998,8.03
Nov 1998,9.64
Oct 1998,11.32
Sep 1998,11.29
Aug 1998,10.2
Jul 1998,10.44
Jun 1998,10
May 1998,11.13
Apr 1998,11.28
Mar 1998,11.15
Feb 1998,12.17
Jan 1998,13.45
Dec 1997,15.04
Nov 1997,16.83
Oct 1997,17.66
Sep 1997,16.41
Aug 1997,16.19
Jul 1997,15.89
Jun 1997,15.88
May 1997,17.23
Apr 1997,16.63
Mar 1997,17.83
Feb 1997,19.38
Jan 1997,21.76
Dec 1996,21.34
Nov 1996,20.2
Oct 1996,21.09
Sep 1996,19.93
Aug 1996,18.29
Jul 1996,17.63
Jun 1996,16.94
May 1996,17.94
Apr 1996,19.58
Mar 1996,17.63
Feb 1996,15.54
Jan 1996,15.43
Dec 1995,15.02
Nov 1995,14.03
Oct 1995,13.68
Sep 1995,14.49
Aug 1995,14.13
Jul 1995,14.01
Jun 1995,15.02
May 1995,15.85
Apr 1995,15.84
Mar 1995,14.68
Feb 1995,14.71
Jan 1995,14
Dec 1994,13.43
Nov 1994,14.14
Oct 1994,13.84
Sep 1994,13.62
Aug 1994,14.5
Jul 1994,15.34
Jun 1994,14.93
May 1994,14.02
Apr 1994,12.31
Mar 1994,10.94
Feb 1994,10.71
Jan 1994,10.49
Dec 1993,12.95
Nov 1993,15.21
Oct 1993,16.27
Sep 1993,13.39
Aug 1993,13.75
Jul 1993,13.83
Jun 1993,15.06
May 1993,16.03
Apr 1993,16.15
Mar 1993,15.94
Feb 1993,15.53
Jan 1993,14.7
Dec 1992,14.94
Nov 1992,16
Oct 1992,17.16
Sep 1992,17.2
Aug 1992,17.07
Jul 1992,17.8
Jun 1992,17.96
May 1992,16.38
Apr 1992,15.36
Mar 1992,14.12
Feb 1992,14.04
Jan 1992,13.99
Dec 1991,14.68
Nov 1991,17.12
Oct 1991,17.72
Sep 1991,16.71
Aug 1991,16.6
Jul 1991,16.36
Jun 1991,15.58
May 1991,16.44
Apr 1991,16.16
Mar 1991,15.13
Feb 1991,16.28
Jan 1991,19.6
Dec 1990,22.63
Nov 1990,27.53
Oct 1990,30.86
Sep 1990,28.46
Aug 1990,21.87
Jul 1990,14.03
Jun 1990,12.79
May 1990,13.82
Apr 1990,14.52
Mar 1990,16.57
Feb 1990,18.16
Jan 1990,18.49
Dec 1989,17.01
Nov 1989,16.3
Oct 1989,16.25
Sep 1989,15.58
Aug 1989,15.01
Jul 1989,16.32
Jun 1989,16.42
May 1989,16.76
Apr 1989,17.04
Mar 1989,15.65
Feb 1989,14.24
Jan 1989,13.8
Dec 1988,11.99
Nov 1988,10.31
Oct 1988,10.62
Sep 1988,11.63
Aug 1988,12.22
Jul 1988,12.38
Jun 1988,13.59
May 1988,14.12
Apr 1988,13.92
Mar 1988,12.96
Feb 1988,13.43
Jan 1988,13.64
Dec 1987,14.27
Nov 1987,15.46
Oct 1987,15.95
Sep 1987,16.25
Aug 1987,17.06
Jul 1987,16.88
Jun 1987,15.95
May 1987,15.29
Apr 1987,14.95
Mar 1987,14.54
Feb 1987,14.51
Jan 1987,13.79
Dec 1986,11.73
Nov 1986,11.05
Oct 1986,11
Sep 1986,11.09
Aug 1986,9.77
Jul 1986,9.25
Jun 1986,10.68
May 1986,10.75
Apr 1986,10.68
Mar 1986,12.62
Feb 1986,17.65
Jan 1986,23.12
Dec 1985,24.51
Nov 1985,24.27
Oct 1985,24.1
Sep 1985,23.96
Aug 1985,23.99
Jul 1985,24.04
Jun 1985,24.07
May 1985,24.18
Apr 1985,24.19
Mar 1985,23.89
Feb 1985,23.64
Jan 1985,24.26
Dec 1984,25.05
Nov 1984,25.44
Oct 1984,25.92
Sep 1984,25.97
Aug 1984,26.02
Jul 1984,26.11
Jun 1984,26.09
May 1984,26
Apr 1984,25.93
Mar 1984,26.05
Feb 1984,26.06
Jan 1984,25.93
Dec 1983,25.88
Nov 1983,26.09
Oct 1983,26.04
Sep 1983,26.08
Aug 1983,26.03
Jul 1983,25.86
Jun 1983,25.98
May 1983,26.08
Apr 1983,25.85
Mar 1983,26.08
Feb 1983,26.41
Jan 1983,27.22
Dec 1982,28.02
Nov 1982,28.74
Oct 1982,28.76
Sep 1982,27.99
Aug 1982,27.99
Jul 1982,28.09
Jun 1982,28.12
May 1982,27.66
Apr 1982,27.64
Mar 1982,28.31
Feb 1982,29.73
Jan 1982,30.8
Dec 1981,30.8
Nov 1981,30.97
Oct 1981,30.98
Sep 1981,31.1
Aug 1981,31.1
Jul 1981,31.1
Jun 1981,31.68
May 1981,32.73
Apr 1981,33.92
Mar 1981,34.59
Feb 1981,34.3
Jan 1981,28.81
Dec 1980,25.83
Nov 1980,23.99
Oct 1980,23.23
Sep 1980,22.59
Aug 1980,22.62
Jul 1980,22.31
Jun 1980,21.52
May 1980,21.05
Apr 1980,20.28
Mar 1980,19.33
Feb 1980,18.86
Jan 1980,17.86
Dec 1979,17
Nov 1979,15.52
Oct 1979,15.06
Sep 1979,14.57
Aug 1979,14
Jul 1979,13.39
Jun 1979,11.7
May 1979,10.71
Apr 1979,10.33
Mar 1979,9.83
Feb 1979,9.69
Jan 1979,9.46
Dec 1978,9.47
Nov 1978,9.2
Oct 1978,9.17
Sep 1978,9.15
Aug 1978,9.05
Jul 1978,8.96
Jun 1978,9.05
May 1978,8.81
Apr 1978,8.82
Mar 1978,8.8
Feb 1978,8.86
Jan 1978,8.71
Dec 1977,8.81
Nov 1977,8.69
Oct 1977,8.72
Sep 1977,8.43
Aug 1977,8.45
Jul 1977,8.47
Jun 1977,8.44
May 1977,8.49
Apr 1977,8.41
Mar 1977,8.45
Feb 1977,8.56
Jan 1977,8.5
Dec 1976,8.62
Nov 1976,8.61
Oct 1976,8.46
Sep 1976,8.39
Aug 1976,8.03
Jul 1976,8.04
Jun 1976,8
May 1976,7.89
Apr 1976,7.86
Mar 1976,7.78
Feb 1976,7.91
Jan 1976,8.63
Dec 1975,7.93
Nov 1975,7.8
Oct 1975,7.83
Sep 1975,7.75
Aug 1975,7.73
Jul 1975,7.75
Jun 1975,7.49
May 1975,7.52
Apr 1975,7.55
Mar 1975,7.57
Feb 1975,7.47
Jan 1975,7.61
Dec 1974,7.09
Nov 1974,6.97
Oct 1974,6.97
Sep 1974,6.7
Aug 1974,6.71
Jul 1974,6.8
Jun 1974,6.85
May 1974,6.87
Apr 1974,6.77
Mar 1974,6.77
Feb 1974,6.87
Jan 1974,6.95