,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Day,Price Per Gallon
0,2020-02-15,-1.0,-2.0,11.0,8.0,-3.0,0.0,Saturday,3.125
1,2020-02-16,13.0,1.0,19.0,3.0,-2.0,-1.0,Sunday,3.125
2,2020-02-17,10.0,4.0,64.0,-13.0,-40.0,7.0,Monday,3.125
3,2020-02-18,4.0,2.0,51.0,6.0,-8.0,1.0,Tuesday,3.116
4,2020-02-19,2.0,2.0,62.0,6.0,-7.0,0.0,Wednesday,3.116
5,2020-02-20,3.0,1.0,53.0,2.0,-6.0,0.0,Thursday,3.116
6,2020-02-21,1.0,-4.0,51.0,1.0,-7.0,1.0,Friday,3.116
7,2020-02-22,0.0,-5.0,34.0,8.0,-1.0,-1.0,Saturday,3.116
8,2020-02-23,7.0,-2.0,0.0,2.0,1.0,0.0,Sunday,3.116
9,2020-02-24,0.0,-2.0,16.0,2.0,4.0,-1.0,Monday,3.116
10,2020-02-25,4.0,1.0,37.0,3.0,1.0,0.0,Tuesday,3.125
11,2020-02-26,5.0,2.0,45.0,5.0,1.0,-1.0,Wednesday,3.125
12,2020-02-27,8.0,1.0,57.0,7.0,2.0,-1.0,Thursday,3.125
13,2020-02-28,3.0,1.0,21.0,4.0,1.0,0.0,Friday,3.125
14,2020-02-29,1.0,6.0,33.0,3.0,1.0,-1.0,Saturday,3.125
15,2020-03-01,12.0,6.0,35.0,7.0,1.0,0.0,Sunday,3.125
16,2020-03-02,-3.0,9.0,-12.0,-6.0,0.0,1.0,Monday,3.125
17,2020-03-03,-1.0,10.0,15.0,-8.0,-5.0,3.0,Tuesday,3.123
18,2020-03-04,-2.0,6.0,52.0,-9.0,-8.0,3.0,Wednesday,3.123
19,2020-03-05,-5.0,5.0,14.0,-16.0,-16.0,7.0,Thursday,3.123
20,2020-03-06,-11.0,-1.0,-5.0,-21.0,-22.0,9.0,Friday,3.123
21,2020-03-07,-13.0,-5.0,13.0,-12.0,-5.0,4.0,Saturday,3.123
22,2020-03-08,-5.0,-6.0,33.0,-14.0,-6.0,3.0,Sunday,3.123
23,2020-03-09,-6.0,-1.0,47.0,-25.0,-25.0,9.0,Monday,3.123
24,2020-03-10,-7.0,1.0,25.0,-27.0,-27.0,10.0,Tuesday,3.079
25,2020-03-11,-9.0,6.0,33.0,-28.0,-27.0,10.0,Wednesday,3.079
26,2020-03-12,-11.0,10.0,30.0,-33.0,-32.0,12.0,Thursday,3.079
27,2020-03-13,-20.0,7.0,-30.0,-40.0,-37.0,15.0,Friday,3.079
28,2020-03-14,-28.0,1.0,12.0,-28.0,-13.0,7.0,Saturday,3.079
29,2020-03-15,-20.0,-4.0,42.0,-31.0,-15.0,6.0,Sunday,3.079
30,2020-03-16,-26.0,12.0,43.0,-44.0,-45.0,16.0,Monday,3.079
31,2020-03-17,-35.0,2.0,54.0,-47.0,-51.0,20.0,Tuesday,2.892
32,2020-03-18,-38.0,-1.0,89.0,-50.0,-53.0,21.0,Wednesday,2.892
33,2020-03-19,-40.0,-3.0,81.0,-56.0,-55.0,22.0,Thursday,2.892
34,2020-03-20,-43.0,-3.0,75.0,-56.0,-55.0,23.0,Friday,2.892
35,2020-03-21,-53.0,-15.0,56.0,-50.0,-36.0,13.0,Saturday,2.892
36,2020-03-22,-50.0,-21.0,20.0,-57.0,-38.0,12.0,Sunday,2.892
37,2020-03-23,-46.0,-12.0,-9.0,-63.0,-58.0,23.0,Monday,2.892
38,2020-03-24,-50.0,-17.0,-8.0,-64.0,-62.0,27.0,Tuesday,2.766
39,2020-03-25,-53.0,-20.0,5.0,-66.0,-65.0,27.0,Wednesday,2.766
40,2020-03-26,-58.0,-26.0,-23.0,-70.0,-68.0,30.0,Thursday,2.766
41,2020-03-27,-59.0,-25.0,-25.0,-71.0,-68.0,31.0,Friday,2.766
42,2020-03-28,-64.0,-31.0,-30.0,-66.0,-48.0,18.0,Saturday,2.766
43,2020-03-29,-57.0,-30.0,0.0,-66.0,-47.0,15.0,Sunday,2.766
44,2020-03-30,-56.0,-28.0,-33.0,-72.0,-69.0,28.0,Monday,2.766
45,2020-03-31,-53.0,-23.0,-6.0,-70.0,-70.0,30.0,Tuesday,2.702
46,2020-04-01,-52.0,-20.0,21.0,-68.0,-70.0,29.0,Wednesday,2.702
47,2020-04-02,-55.0,-22.0,-5.0,-72.0,-70.0,30.0,Thursday,2.702
48,2020-04-03,-56.0,-21.0,-18.0,-72.0,-69.0,31.0,Friday,2.702
49,2020-04-04,-60.0,-24.0,7.0,-64.0,-48.0,17.0,Saturday,2.702
50,2020-04-05,-56.0,-29.0,-10.0,-68.0,-48.0,15.0,Sunday,2.702
51,2020-04-06,-51.0,-21.0,26.0,-70.0,-69.0,27.0,Monday,2.702
52,2020-04-07,-52.0,-20.0,35.0,-70.0,-70.0,29.0,Tuesday,2.656
53,2020-04-08,-52.0,-20.0,49.0,-69.0,-70.0,28.0,Wednesday,2.656
54,2020-04-09,-52.0,-18.0,43.0,-70.0,-70.0,29.0,Thursday,2.656
55,2020-04-10,-54.0,-17.0,29.0,-70.0,-70.0,30.0,Friday,2.656
56,2020-04-11,-59.0,-19.0,-5.0,-63.0,-48.0,17.0,Saturday,2.656
57,2020-04-12,-65.0,-34.0,4.0,-66.0,-49.0,14.0,Sunday,2.656
58,2020-04-13,-53.0,-23.0,12.0,-69.0,-68.0,27.0,Monday,2.656
59,2020-04-14,-52.0,-21.0,32.0,-68.0,-68.0,29.0,Tuesday,2.573
60,2020-04-15,-50.0,-18.0,29.0,-67.0,-68.0,28.0,Wednesday,2.573
61,2020-04-16,-51.0,-19.0,35.0,-68.0,-68.0,28.0,Thursday,2.573
62,2020-04-17,-54.0,-21.0,16.0,-68.0,-67.0,29.0,Friday,2.573
63,2020-04-18,-60.0,-26.0,-20.0,-62.0,-45.0,17.0,Saturday,2.573
64,2020-04-19,-53.0,-26.0,20.0,-63.0,-44.0,13.0,Sunday,2.573
65,2020-04-20,-50.0,-23.0,27.0,-67.0,-67.0,26.0,Monday,2.573
66,2020-04-21,-52.0,-24.0,-3.0,-68.0,-67.0,29.0,Tuesday,2.543
67,2020-04-22,-55.0,-25.0,-36.0,-71.0,-67.0,29.0,Wednesday,2.543
68,2020-04-23,-54.0,-23.0,-17.0,-70.0,-67.0,29.0,Thursday,2.543
69,2020-04-24,-54.0,-22.0,5.0,-67.0,-66.0,29.0,Friday,2.543
70,2020-04-25,-58.0,-23.0,6.0,-60.0,-45.0,16.0,Saturday,2.543
71,2020-04-26,-52.0,-26.0,8.0,-62.0,-44.0,13.0,Sunday,2.543
72,2020-04-27,-49.0,-22.0,5.0,-67.0,-65.0,26.0,Monday,2.543
73,2020-04-28,-49.0,-21.0,12.0,-67.0,-66.0,19.0,Tuesday,2.531
74,2020-04-29,-49.0,-19.0,20.0,-66.0,-66.0,27.0,Wednesday,2.531
75,2020-04-30,-49.0,-18.0,5.0,-67.0,-66.0,27.0,Thursday,2.531
76,2020-05-01,-49.0,-16.0,26.0,-64.0,-64.0,27.0,Friday,2.531
77,2020-05-02,-57.0,-22.0,-34.0,-61.0,-44.0,16.0,Saturday,2.531
78,2020-05-03,-48.0,-20.0,13.0,-60.0,-40.0,12.0,Sunday,2.531
79,2020-05-04,-46.0,-18.0,6.0,-65.0,-63.0,25.0,Monday,2.531
80,2020-05-05,-42.0,-10.0,56.0,-63.0,-64.0,25.0,Tuesday,2.581
81,2020-05-06,-48.0,-17.0,18.0,-64.0,-64.0,26.0,Wednesday,2.581
82,2020-05-07,-45.0,-13.0,58.0,-63.0,-63.0,25.0,Thursday,2.581
83,2020-05-08,-46.0,-9.0,78.0,-61.0,-62.0,24.0,Friday,2.581
84,2020-05-09,-50.0,-7.0,76.0,-50.0,-38.0,11.0,Saturday,2.581
85,2020-05-10,-41.0,-8.0,61.0,-54.0,-35.0,8.0,Sunday,2.581
86,2020-05-11,-47.0,-21.0,7.0,-65.0,-62.0,24.0,Monday,2.581
87,2020-05-12,-46.0,-16.0,18.0,-64.0,-62.0,26.0,Tuesday,2.565
88,2020-05-13,-45.0,-14.0,47.0,-62.0,-62.0,25.0,Wednesday,2.565
89,2020-05-14,-47.0,-17.0,30.0,-64.0,-62.0,26.0,Thursday,2.565
90,2020-05-15,-46.0,-15.0,64.0,-61.0,-61.0,24.0,Friday,2.565
91,2020-05-16,-55.0,-21.0,-15.0,-57.0,-38.0,14.0,Saturday,2.565
92,2020-05-17,-45.0,-19.0,42.0,-56.0,-33.0,11.0,Sunday,2.565
93,2020-05-18,-43.0,-18.0,38.0,-62.0,-60.0,23.0,Monday,2.565
94,2020-05-19,-42.0,-15.0,45.0,-62.0,-61.0,25.0,Tuesday,2.615
95,2020-05-20,-45.0,-16.0,9.0,-62.0,-61.0,25.0,Wednesday,2.615
96,2020-05-21,-46.0,-16.0,-8.0,-64.0,-61.0,26.0,Thursday,2.615
97,2020-05-22,-44.0,-11.0,19.0,-61.0,-60.0,24.0,Friday,2.615
98,2020-05-23,-51.0,-17.0,49.0,-51.0,-32.0,11.0,Saturday,2.615
99,2020-05-24,-41.0,-17.0,71.0,-54.0,-32.0,8.0,Sunday,2.615
100,2020-05-25,-50.0,-19.0,-1.0,-71.0,-81.0,27.0,Monday,2.615
101,2020-05-26,-41.0,-14.0,56.0,-60.0,-60.0,23.0,Tuesday,2.591
102,2020-05-27,-40.0,-12.0,103.0,-58.0,-59.0,22.0,Wednesday,2.591
103,2020-05-28,-42.0,-13.0,74.0,-61.0,-58.0,23.0,Thursday,2.591
104,2020-05-29,-44.0,-12.0,83.0,-58.0,-57.0,22.0,Friday,2.591
105,2020-05-30,-57.0,-27.0,-43.0,-53.0,-29.0,15.0,Saturday,2.591
106,2020-05-31,-45.0,-20.0,4.0,-53.0,-26.0,11.0,Sunday,2.591
107,2020-06-01,-41.0,-16.0,45.0,-58.0,-58.0,22.0,Monday,2.591
108,2020-06-02,-41.0,-12.0,36.0,-59.0,-59.0,24.0,Tuesday,2.638
109,2020-06-03,-40.0,-11.0,67.0,-58.0,-58.0,22.0,Wednesday,2.638
110,2020-06-04,-41.0,-11.0,59.0,-60.0,-58.0,23.0,Thursday,2.638
111,2020-06-05,-42.0,-11.0,47.0,-58.0,-57.0,22.0,Friday,2.638
112,2020-06-06,-46.0,-14.0,45.0,-47.0,-24.0,10.0,Saturday,2.638
113,2020-06-07,-40.0,-16.0,37.0,-52.0,-24.0,9.0,Sunday,2.638
114,2020-06-08,-37.0,-15.0,33.0,-58.0,-56.0,21.0,Monday,2.638
115,2020-06-09,-39.0,-15.0,3.0,-61.0,-58.0,24.0,Tuesday,2.68
116,2020-06-10,-35.0,-11.0,93.0,-55.0,-57.0,21.0,Wednesday,2.68
117,2020-06-11,-37.0,-13.0,59.0,-57.0,-57.0,22.0,Thursday,2.68
118,2020-06-12,-40.0,-13.0,44.0,-54.0,-57.0,22.0,Friday,2.68
119,2020-06-13,-43.0,-15.0,33.0,-42.0,-21.0,10.0,Saturday,2.68
120,2020-06-14,-33.0,-17.0,76.0,-44.0,-20.0,7.0,Sunday,2.68
121,2020-06-15,-35.0,-16.0,6.0,-56.0,-57.0,21.0,Monday,2.68
122,2020-06-16,-31.0,-10.0,77.0,-53.0,-57.0,21.0,Tuesday,2.729
123,2020-06-17,-31.0,-9.0,107.0,-52.0,-56.0,20.0,Wednesday,2.729
124,2020-06-18,-29.0,-7.0,106.0,-54.0,-56.0,19.0,Thursday,2.729
125,2020-06-19,-32.0,-8.0,95.0,-51.0,-56.0,17.0,Friday,2.729
126,2020-06-20,-39.0,-11.0,46.0,-42.0,-20.0,7.0,Saturday,2.729
127,2020-06-21,-31.0,-14.0,62.0,-44.0,-18.0,4.0,Sunday,2.729
128,2020-06-22,-29.0,-13.0,92.0,-53.0,-57.0,18.0,Monday,2.729
129,2020-06-23,-28.0,-10.0,113.0,-52.0,-58.0,19.0,Tuesday,2.764
130,2020-06-24,-30.0,-10.0,89.0,-52.0,-56.0,19.0,Wednesday,2.764
131,2020-06-25,-29.0,-8.0,103.0,-52.0,-56.0,19.0,Thursday,2.764
132,2020-06-26,-33.0,-11.0,86.0,-51.0,-56.0,18.0,Friday,2.764
133,2020-06-27,-42.0,-18.0,-1.0,-43.0,-22.0,8.0,Saturday,2.764
134,2020-06-28,-30.0,-16.0,52.0,-43.0,-17.0,6.0,Sunday,2.764
135,2020-06-29,-27.0,-13.0,63.0,-54.0,-55.0,18.0,Monday,2.764
136,2020-06-30,-27.0,-11.0,37.0,-55.0,-56.0,20.0,Tuesday,2.753
137,2020-07-01,-27.0,-8.0,42.0,-52.0,-56.0,19.0,Wednesday,2.753
138,2020-07-02,-23.0,-2.0,50.0,-52.0,-57.0,18.0,Thursday,2.753
139,2020-07-03,-29.0,-1.0,73.0,-56.0,-70.0,19.0,Friday,2.753
140,2020-07-04,-55.0,-18.0,71.0,-47.0,-33.0,6.0,Saturday,2.753
141,2020-07-05,-32.0,-22.0,72.0,-43.0,-22.0,3.0,Sunday,2.753
142,2020-07-06,-26.0,-11.0,62.0,-52.0,-58.0,17.0,Monday,2.753
143,2020-07-07,-27.0,-10.0,53.0,-52.0,-58.0,20.0,Tuesday,2.776
144,2020-07-08,-27.0,-9.0,92.0,-51.0,-56.0,19.0,Wednesday,2.776
145,2020-07-09,-28.0,-10.0,53.0,-54.0,-56.0,20.0,Thursday,2.776
146,2020-07-10,-30.0,-9.0,87.0,-52.0,-55.0,18.0,Friday,2.776
147,2020-07-11,-37.0,-15.0,60.0,-39.0,-19.0,6.0,Saturday,2.776
148,2020-07-12,-27.0,-15.0,52.0,-43.0,-19.0,6.0,Sunday,2.776
149,2020-07-13,-25.0,-11.0,81.0,-53.0,-56.0,17.0,Monday,2.776
150,2020-07-14,-24.0,-8.0,122.0,-51.0,-57.0,19.0,Tuesday,2.839
151,2020-07-15,-25.0,-7.0,132.0,-51.0,-56.0,18.0,Wednesday,2.839
152,2020-07-16,-26.0,-8.0,73.0,-54.0,-56.0,19.0,Thursday,2.839
153,2020-07-17,-31.0,-10.0,46.0,-53.0,-56.0,18.0,Friday,2.839
154,2020-07-18,-35.0,-12.0,109.0,-36.0,-18.0,4.0,Saturday,2.839
155,2020-07-19,-25.0,-13.0,99.0,-41.0,-19.0,3.0,Sunday,2.839
156,2020-07-20,-25.0,-9.0,91.0,-53.0,-57.0,17.0,Monday,2.839
157,2020-07-21,-23.0,-7.0,122.0,-53.0,-57.0,18.0,Tuesday,2.837
158,2020-07-22,-27.0,-11.0,74.0,-53.0,-56.0,18.0,Wednesday,2.837
159,2020-07-23,-27.0,-11.0,60.0,-54.0,-56.0,19.0,Thursday,2.837
160,2020-07-24,-30.0,-11.0,58.0,-53.0,-55.0,18.0,Friday,2.837
161,2020-07-25,-34.0,-12.0,103.0,-37.0,-19.0,5.0,Saturday,2.837
162,2020-07-26,-24.0,-13.0,99.0,-40.0,-18.0,3.0,Sunday,2.837
163,2020-07-27,-24.0,-9.0,94.0,-53.0,-57.0,16.0,Monday,2.837
164,2020-07-28,-24.0,-8.0,106.0,-52.0,-57.0,18.0,Tuesday,2.832
165,2020-07-29,-25.0,-9.0,112.0,-53.0,-56.0,17.0,Wednesday,2.832
166,2020-07-30,-26.0,-7.0,89.0,-55.0,-56.0,18.0,Thursday,2.832
167,2020-07-31,-28.0,-7.0,84.0,-52.0,-56.0,17.0,Friday,2.832
168,2020-08-01,-35.0,-12.0,79.0,-38.0,-20.0,5.0,Saturday,2.832
169,2020-08-02,-24.0,-12.0,86.0,-41.0,-19.0,3.0,Sunday,2.832
170,2020-08-03,-24.0,-9.0,64.0,-53.0,-57.0,17.0,Monday,2.832
171,2020-08-04,-21.0,-5.0,110.0,-52.0,-57.0,18.0,Tuesday,2.836
172,2020-08-05,-25.0,-8.0,109.0,-52.0,-56.0,17.0,Wednesday,2.836
173,2020-08-06,-29.0,-11.0,20.0,-55.0,-57.0,20.0,Thursday,2.836
174,2020-08-07,-29.0,-10.0,69.0,-53.0,-56.0,17.0,Friday,2.836
175,2020-08-08,-36.0,-15.0,41.0,-40.0,-21.0,6.0,Saturday,2.836
176,2020-08-09,-23.0,-14.0,94.0,-40.0,-18.0,3.0,Sunday,2.836
177,2020-08-10,-25.0,-11.0,74.0,-53.0,-57.0,16.0,Monday,2.836
178,2020-08-11,-24.0,-9.0,85.0,-53.0,-58.0,18.0,Tuesday,2.844
179,2020-08-12,-26.0,-11.0,77.0,-53.0,-56.0,18.0,Wednesday,2.844
180,2020-08-13,-26.0,-10.0,76.0,-54.0,-57.0,18.0,Thursday,2.844
181,2020-08-14,-29.0,-10.0,79.0,-51.0,-56.0,16.0,Friday,2.844
182,2020-08-15,-35.0,-13.0,86.0,-37.0,-20.0,4.0,Saturday,2.844
183,2020-08-16,-27.0,-15.0,83.0,-41.0,-20.0,2.0,Sunday,2.844
184,2020-08-17,-26.0,-12.0,62.0,-54.0,-57.0,16.0,Monday,2.844
185,2020-08-18,-25.0,-11.0,82.0,-53.0,-57.0,18.0,Tuesday,2.858
186,2020-08-19,-27.0,-11.0,85.0,-54.0,-56.0,17.0,Wednesday,2.858
187,2020-08-20,-27.0,-11.0,55.0,-54.0,-56.0,18.0,Thursday,2.858
188,2020-08-21,-31.0,-13.0,21.0,-54.0,-56.0,18.0,Friday,2.858
189,2020-08-22,-35.0,-15.0,69.0,-38.0,-19.0,5.0,Saturday,2.858
190,2020-08-23,-25.0,-17.0,72.0,-40.0,-18.0,3.0,Sunday,2.858
191,2020-08-24,-26.0,-13.0,52.0,-54.0,-56.0,16.0,Monday,2.858
192,2020-08-25,-24.0,-11.0,88.0,-53.0,-57.0,18.0,Tuesday,2.868
193,2020-08-26,-26.0,-11.0,88.0,-54.0,-56.0,17.0,Wednesday,2.868
194,2020-08-27,-26.0,-11.0,77.0,-53.0,-55.0,17.0,Thursday,2.868
195,2020-08-28,-28.0,-11.0,78.0,-52.0,-55.0,16.0,Friday,2.868
196,2020-08-29,-35.0,-16.0,63.0,-39.0,-19.0,5.0,Saturday,2.868
197,2020-08-30,-22.0,-16.0,66.0,-40.0,-16.0,3.0,Sunday,2.868
198,2020-08-31,-24.0,-13.0,44.0,-54.0,-56.0,16.0,Monday,2.868
199,2020-09-01,-21.0,-8.0,89.0,-51.0,-56.0,17.0,Tuesday,2.868
200,2020-09-02,-24.0,-9.0,86.0,-53.0,-56.0,17.0,Wednesday,2.868
201,2020-09-03,-24.0,-8.0,71.0,-50.0,-56.0,17.0,Thursday,2.868
202,2020-09-04,-26.0,-8.0,69.0,-49.0,-56.0,16.0,Friday,2.868
203,2020-09-05,-34.0,-16.0,56.0,-39.0,-22.0,4.0,Saturday,2.868
204,2020-09-06,-22.0,-16.0,76.0,-41.0,-18.0,2.0,Sunday,2.868
205,2020-09-07,-26.0,-11.0,107.0,-59.0,-78.0,18.0,Monday,2.868
206,2020-09-08,-25.0,-11.0,40.0,-50.0,-58.0,18.0,Tuesday,2.857
207,2020-09-09,-27.0,-12.0,57.0,-54.0,-56.0,18.0,Wednesday,2.857
208,2020-09-10,-28.0,-10.0,53.0,-53.0,-55.0,18.0,Thursday,2.857
209,2020-09-11,-33.0,-15.0,6.0,-55.0,-55.0,19.0,Friday,2.857
210,2020-09-12,-41.0,-20.0,-26.0,-46.0,-22.0,10.0,Saturday,2.857
211,2020-09-13,-33.0,-22.0,-31.0,-47.0,-19.0,8.0,Sunday,2.857
212,2020-09-14,-30.0,-17.0,-16.0,-56.0,-54.0,19.0,Monday,2.857
213,2020-09-15,-28.0,-14.0,0.0,-56.0,-55.0,21.0,Tuesday,2.851
214,2020-09-16,-29.0,-16.0,6.0,-56.0,-55.0,19.0,Wednesday,2.851
215,2020-09-17,-30.0,-15.0,3.0,-55.0,-55.0,20.0,Thursday,2.851
216,2020-09-18,-31.0,-15.0,-9.0,-56.0,-53.0,19.0,Friday,2.851
217,2020-09-19,-31.0,-14.0,24.0,-41.0,-16.0,6.0,Saturday,2.851
218,2020-09-20,-23.0,-16.0,48.0,-42.0,-11.0,5.0,Sunday,2.851
219,2020-09-21,-28.0,-17.0,27.0,-55.0,-54.0,17.0,Monday,2.851
220,2020-09-22,-25.0,-13.0,24.0,-54.0,-54.0,18.0,Tuesday,2.831
221,2020-09-23,-32.0,-18.0,-37.0,-58.0,-54.0,20.0,Wednesday,2.831
222,2020-09-24,-30.0,-14.0,-26.0,-55.0,-54.0,20.0,Thursday,2.831
223,2020-09-25,-30.0,-14.0,-28.0,-56.0,-53.0,19.0,Friday,2.831
224,2020-09-26,-30.0,-13.0,-7.0,-41.0,-15.0,7.0,Saturday,2.831
225,2020-09-27,-22.0,-17.0,21.0,-41.0,-11.0,5.0,Sunday,2.831
226,2020-09-28,-26.0,-16.0,6.0,-54.0,-53.0,17.0,Monday,2.831
227,2020-09-29,-25.0,-14.0,20.0,-54.0,-53.0,18.0,Tuesday,2.827
228,2020-09-30,-26.0,-13.0,15.0,-54.0,-54.0,17.0,Wednesday,2.827
229,2020-10-01,-26.0,-10.0,3.0,-54.0,-52.0,18.0,Thursday,2.827
230,2020-10-02,-28.0,-12.0,34.0,-54.0,-51.0,17.0,Friday,2.827
231,2020-10-03,-31.0,-14.0,22.0,-41.0,-15.0,6.0,Saturday,2.827
232,2020-10-04,-26.0,-18.0,1.0,-46.0,-14.0,6.0,Sunday,2.827
233,2020-10-05,-28.0,-14.0,23.0,-56.0,-53.0,17.0,Monday,2.827
234,2020-10-06,-26.0,-12.0,51.0,-56.0,-53.0,18.0,Tuesday,2.815
235,2020-10-07,-29.0,-15.0,32.0,-57.0,-53.0,18.0,Wednesday,2.815
236,2020-10-08,-30.0,-15.0,21.0,-55.0,-53.0,19.0,Thursday,2.815
237,2020-10-09,-29.0,-13.0,25.0,-54.0,-52.0,18.0,Friday,2.815
238,2020-10-10,-32.0,-14.0,7.0,-43.0,-15.0,8.0,Saturday,2.815
239,2020-10-11,-29.0,-21.0,-32.0,-47.0,-13.0,8.0,Sunday,2.815
240,2020-10-12,-29.0,-16.0,17.0,-55.0,-54.0,18.0,Monday,2.815
