,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Day,Price Per Gallon
482,2021-06-11,-20.0,-5.0,2.0,-40.0,-49.0,14.0,Friday,3.659
483,2021-06-12,-20.0,-5.0,92.0,-16.0,-16.0,1.0,Saturday,3.659
484,2021-06-13,-15.0,-13.0,-16.0,-21.0,-10.0,4.0,Sunday,3.659
485,2021-06-14,-18.0,-6.0,13.0,-40.0,-50.0,14.0,Monday,3.659
486,2021-06-15,-13.0,-2.0,58.0,-40.0,-49.0,15.0,Tuesday,3.658
487,2021-06-16,-12.0,-1.0,89.0,-40.0,-51.0,13.0,Wednesday,3.658
488,2021-06-17,-13.0,1.0,80.0,-37.0,-51.0,13.0,Thursday,3.658
489,2021-06-18,-14.0,1.0,85.0,-36.0,-51.0,11.0,Friday,3.658
490,2021-06-19,-20.0,-3.0,96.0,-11.0,-17.0,0.0,Saturday,3.658
491,2021-06-20,-6.0,-4.0,82.0,-13.0,-10.0,-2.0,Sunday,3.658
492,2021-06-21,-14.0,-5.0,68.0,-38.0,-53.0,13.0,Monday,3.658
493,2021-06-22,-12.0,-2.0,83.0,-38.0,-52.0,14.0,Tuesday,3.715
494,2021-06-23,-12.0,-3.0,79.0,-38.0,-53.0,13.0,Wednesday,3.715
495,2021-06-24,-14.0,1.0,72.0,-38.0,-53.0,13.0,Thursday,3.715
496,2021-06-25,-16.0,2.0,71.0,-36.0,-52.0,12.0,Friday,3.715
497,2021-06-26,-23.0,-4.0,78.0,-12.0,-18.0,0.0,Saturday,3.715
498,2021-06-27,-8.0,-6.0,56.0,-16.0,-12.0,0.0,Sunday,3.715
499,2021-06-28,-11.0,-3.0,35.0,-42.0,-58.0,8.0,Monday,3.715
500,2021-06-29,-15.0,-7.0,55.0,-41.0,-55.0,11.0,Tuesday,3.761
501,2021-06-30,-12.0,-3.0,62.0,-38.0,-53.0,12.0,Wednesday,3.761
502,2021-07-01,-12.0,0.0,51.0,-34.0,-53.0,13.0,Thursday,3.761
503,2021-07-02,-14.0,1.0,61.0,-32.0,-54.0,11.0,Friday,3.761
504,2021-07-03,-22.0,-2.0,71.0,-10.0,-19.0,0.0,Saturday,3.761
505,2021-07-04,-23.0,-5.0,77.0,-19.0,-22.0,-2.0,Sunday,3.761
506,2021-07-05,-11.0,-6.0,77.0,-42.0,-77.0,14.0,Monday,3.761
507,2021-07-06,-11.0,-1.0,73.0,-34.0,-54.0,13.0,Tuesday,3.824
508,2021-07-07,-11.0,-3.0,68.0,-36.0,-53.0,13.0,Wednesday,3.824
509,2021-07-08,-12.0,-1.0,60.0,-35.0,-53.0,13.0,Thursday,3.824
510,2021-07-09,-14.0,-3.0,79.0,-35.0,-52.0,11.0,Friday,3.824
511,2021-07-10,-18.0,-7.0,90.0,-8.0,-16.0,0.0,Saturday,3.824
512,2021-07-11,-4.0,-7.0,76.0,-10.0,-8.0,0.0,Sunday,3.824
513,2021-07-12,-13.0,-3.0,58.0,-36.0,-53.0,12.0,Monday,3.824
514,2021-07-13,-10.0,-1.0,84.0,-36.0,-53.0,13.0,Tuesday,3.858
515,2021-07-14,-11.0,-2.0,79.0,-37.0,-52.0,12.0,Wednesday,3.858
516,2021-07-15,-11.0,-1.0,65.0,-35.0,-52.0,12.0,Thursday,3.858
517,2021-07-16,-15.0,-4.0,60.0,-35.0,-52.0,12.0,Friday,3.858
518,2021-07-17,-18.0,-7.0,94.0,-9.0,-16.0,0.0,Saturday,3.858
519,2021-07-18,-4.0,-6.0,84.0,-12.0,-9.0,-1.0,Sunday,3.858
520,2021-07-19,-11.0,-3.0,61.0,-37.0,-52.0,12.0,Monday,3.858
521,2021-07-20,-10.0,-2.0,66.0,-36.0,-52.0,13.0,Tuesday,3.873
522,2021-07-21,-11.0,-2.0,79.0,-37.0,-52.0,12.0,Wednesday,3.873
523,2021-07-22,-10.0,0.0,75.0,-35.0,-52.0,12.0,Thursday,3.873
524,2021-07-23,-13.0,-2.0,81.0,-34.0,-51.0,11.0,Friday,3.873
525,2021-07-24,-17.0,-7.0,95.0,-8.0,-15.0,0.0,Saturday,3.873
526,2021-07-25,-2.0,-7.0,80.0,-9.0,-7.0,-1.0,Sunday,3.873
527,2021-07-26,-12.0,-4.0,58.0,-36.0,-52.0,12.0,Monday,3.873
528,2021-07-27,-9.0,-2.0,82.0,-35.0,-51.0,13.0,Tuesday,3.883
529,2021-07-28,-10.0,0.0,84.0,-36.0,-51.0,12.0,Wednesday,3.883
530,2021-07-29,-12.0,1.0,73.0,-36.0,-52.0,12.0,Thursday,3.883
531,2021-07-30,-14.0,-1.0,76.0,-34.0,-51.0,11.0,Friday,3.883
532,2021-07-31,-19.0,-8.0,66.0,-9.0,-16.0,1.0,Saturday,3.883
533,2021-08-01,-6.0,-6.0,64.0,-12.0,-8.0,0.0,Sunday,3.883
534,2021-08-02,-12.0,-2.0,53.0,-37.0,-52.0,12.0,Monday,3.883
535,2021-08-03,-9.0,2.0,77.0,-35.0,-52.0,13.0,Tuesday,3.917
536,2021-08-04,-9.0,-1.0,86.0,-36.0,-52.0,12.0,Wednesday,3.917
537,2021-08-05,-12.0,0.0,68.0,-35.0,-52.0,13.0,Thursday,3.917
538,2021-08-06,-15.0,-4.0,53.0,-35.0,-52.0,12.0,Friday,3.917
539,2021-08-07,-20.0,-9.0,54.0,-9.0,-17.0,2.0,Saturday,3.917
540,2021-08-08,-5.0,-9.0,62.0,-10.0,-9.0,0.0,Sunday,3.917
541,2021-08-09,-13.0,-4.0,53.0,-36.0,-52.0,12.0,Monday,3.917
542,2021-08-10,-8.0,0.0,83.0,-34.0,-52.0,13.0,Tuesday,3.916
543,2021-08-11,-11.0,-1.0,82.0,-36.0,-52.0,13.0,Wednesday,3.916
544,2021-08-12,-13.0,-1.0,60.0,-35.0,-52.0,13.0,Thursday,3.916
545,2021-08-13,-15.0,-4.0,43.0,-34.0,-52.0,12.0,Friday,3.916
546,2021-08-14,-20.0,-9.0,67.0,-8.0,-17.0,1.0,Saturday,3.916
547,2021-08-15,-4.0,-9.0,67.0,-8.0,-10.0,0.0,Sunday,3.916
548,2021-08-16,-15.0,-6.0,33.0,-35.0,-53.0,13.0,Monday,3.916
549,2021-08-17,-12.0,-3.0,57.0,-37.0,-53.0,14.0,Tuesday,3.923
550,2021-08-18,-13.0,-5.0,69.0,-38.0,-51.0,13.0,Wednesday,3.923
551,2021-08-19,-14.0,-2.0,62.0,-36.0,-52.0,13.0,Thursday,3.923
552,2021-08-20,-17.0,-7.0,42.0,-35.0,-52.0,12.0,Friday,3.923
553,2021-08-21,-19.0,-11.0,59.0,-6.0,-17.0,1.0,Saturday,3.923
554,2021-08-22,-9.0,-11.0,39.0,-12.0,-11.0,1.0,Sunday,3.923
555,2021-08-23,-15.0,-7.0,43.0,-38.0,-53.0,12.0,Monday,3.923
556,2021-08-24,-12.0,-4.0,70.0,-39.0,-52.0,13.0,Tuesday,3.93
557,2021-08-25,-13.0,-4.0,67.0,-40.0,-52.0,13.0,Wednesday,3.93
558,2021-08-26,-14.0,-4.0,36.0,-37.0,-52.0,14.0,Thursday,3.93
559,2021-08-27,-16.0,-6.0,45.0,-36.0,-51.0,12.0,Friday,3.93
560,2021-08-28,-16.0,-10.0,80.0,-8.0,-15.0,0.0,Saturday,3.93
561,2021-08-29,-3.0,-10.0,64.0,-7.0,-8.0,0.0,Sunday,3.93
562,2021-08-30,-14.0,-6.0,20.0,-38.0,-52.0,13.0,Monday,3.93
563,2021-08-31,-10.0,-1.0,44.0,-39.0,-52.0,14.0,Tuesday,3.937
564,2021-09-01,-10.0,-1.0,62.0,-38.0,-51.0,12.0,Wednesday,3.937
565,2021-09-02,-12.0,-1.0,55.0,-34.0,-51.0,12.0,Thursday,3.937
566,2021-09-03,-14.0,-2.0,54.0,-30.0,-52.0,11.0,Friday,3.937
567,2021-09-04,-19.0,-9.0,55.0,-10.0,-19.0,1.0,Saturday,3.937
568,2021-09-05,-4.0,-8.0,52.0,-13.0,-11.0,0.0,Sunday,3.937
569,2021-09-06,-8.0,-3.0,82.0,-41.0,-79.0,16.0,Monday,3.937
570,2021-09-07,-13.0,-1.0,61.0,-33.0,-51.0,13.0,Tuesday,3.937
571,2021-09-08,-16.0,-2.0,61.0,-40.0,-50.0,12.0,Wednesday,3.937
572,2021-09-09,-17.0,-3.0,46.0,-39.0,-50.0,13.0,Thursday,3.937
573,2021-09-10,-18.0,-5.0,34.0,-38.0,-48.0,12.0,Friday,3.937
574,2021-09-11,-18.0,-9.0,64.0,-17.0,-15.0,2.0,Saturday,3.937
575,2021-09-12,-11.0,-11.0,19.0,-15.0,-9.0,3.0,Sunday,3.937
576,2021-09-13,-16.0,-6.0,32.0,-40.0,-49.0,12.0,Monday,3.937
577,2021-09-14,-13.0,-5.0,42.0,-40.0,-49.0,13.0,Tuesday,3.92
578,2021-09-15,-13.0,-3.0,47.0,-40.0,-50.0,13.0,Wednesday,3.92
579,2021-09-16,-15.0,-4.0,47.0,-38.0,-50.0,12.0,Thursday,3.92
580,2021-09-17,-19.0,-8.0,4.0,-37.0,-49.0,13.0,Friday,3.92
581,2021-09-18,-19.0,-11.0,16.0,-18.0,-18.0,4.0,Saturday,3.92
582,2021-09-19,-7.0,-12.0,13.0,-12.0,-11.0,3.0,Sunday,3.92
583,2021-09-20,-16.0,-6.0,35.0,-38.0,-47.0,12.0,Monday,3.92
584,2021-09-21,-13.0,-4.0,65.0,-41.0,-47.0,13.0,Tuesday,3.902
585,2021-09-22,-16.0,-6.0,41.0,-42.0,-45.0,13.0,Wednesday,3.902
586,2021-09-23,-16.0,-5.0,46.0,-39.0,-46.0,12.0,Thursday,3.902
587,2021-09-24,-15.0,-6.0,57.0,-36.0,-45.0,11.0,Friday,3.902
588,2021-09-25,-17.0,-10.0,91.0,-14.0,-15.0,0.0,Saturday,3.902
589,2021-09-26,-15.0,-14.0,-6.0,-18.0,-10.0,4.0,Sunday,3.902
590,2021-09-27,-19.0,-8.0,-8.0,-41.0,-46.0,13.0,Monday,3.902
591,2021-09-28,-15.0,-5.0,26.0,-43.0,-45.0,14.0,Tuesday,3.902
592,2021-09-29,-17.0,-7.0,22.0,-42.0,-45.0,13.0,Wednesday,3.902
593,2021-09-30,-19.0,-7.0,1.0,-40.0,-45.0,14.0,Thursday,3.902
594,2021-10-01,-12.0,-4.0,41.0,-34.0,-44.0,11.0,Friday,3.902
595,2021-10-02,-14.0,-10.0,57.0,-16.0,-16.0,2.0,Saturday,3.902
596,2021-10-03,-8.0,-12.0,1.0,-16.0,-10.0,3.0,Sunday,3.902
597,2021-10-04,-17.0,-5.0,21.0,-40.0,-45.0,12.0,Monday,3.902
598,2021-10-05,-17.0,-6.0,4.0,-43.0,-45.0,14.0,Tuesday,3.908
599,2021-10-06,-17.0,-6.0,26.0,-41.0,-45.0,13.0,Wednesday,3.908
600,2021-10-07,-13.0,-6.0,34.0,-34.0,-45.0,12.0,Thursday,3.908
601,2021-10-08,-15.0,-7.0,35.0,-36.0,-47.0,12.0,Friday,3.908
602,2021-10-09,-18.0,-12.0,31.0,-17.0,-16.0,3.0,Saturday,3.908
603,2021-10-10,-10.0,-12.0,-2.0,-20.0,-11.0,4.0,Sunday,3.908
604,2021-10-11,-18.0,-7.0,14.0,-39.0,-46.0,13.0,Monday,3.908
605,2021-10-12,-17.0,-7.0,12.0,-41.0,-44.0,14.0,Tuesday,3.914
606,2021-10-13,-18.0,-7.0,23.0,-42.0,-44.0,13.0,Wednesday,3.914
607,2021-10-14,-19.0,-8.0,5.0,-40.0,-44.0,13.0,Thursday,3.914
608,2021-10-15,-17.0,-8.0,13.0,-38.0,-44.0,12.0,Friday,3.914
609,2021-10-16,-16.0,-11.0,55.0,-16.0,-15.0,2.0,Saturday,3.914
610,2021-10-17,-11.0,-13.0,6.0,-19.0,-11.0,3.0,Sunday,3.914
611,2021-10-18,-19.0,-9.0,9.0,-41.0,-45.0,12.0,Monday,3.914
612,2021-10-19,-15.0,-8.0,41.0,-41.0,-44.0,13.0,Tuesday,3.949
613,2021-10-20,-19.0,-9.0,14.0,-43.0,-44.0,13.0,Wednesday,3.949
614,2021-10-21,-18.0,-9.0,12.0,-39.0,-45.0,13.0,Thursday,3.949
615,2021-10-22,-16.0,-8.0,6.0,-38.0,-44.0,12.0,Friday,3.949
616,2021-10-23,-17.0,-11.0,13.0,-18.0,-17.0,3.0,Saturday,3.949
617,2021-10-24,-11.0,-15.0,-20.0,-22.0,-12.0,4.0,Sunday,3.949
618,2021-10-25,-17.0,-10.0,-17.0,-37.0,-45.0,13.0,Monday,3.949
619,2021-10-26,-17.0,-8.0,0.0,-41.0,-44.0,14.0,Tuesday,3.951
620,2021-10-27,-18.0,-7.0,8.0,-43.0,-44.0,13.0,Wednesday,3.951
621,2021-10-28,-22.0,-11.0,-25.0,-42.0,-44.0,14.0,Thursday,3.951
622,2021-10-29,-17.0,-5.0,5.0,-40.0,-43.0,12.0,Friday,3.951
623,2021-10-30,-15.0,-4.0,57.0,-22.0,-16.0,2.0,Saturday,3.951
624,2021-10-31,-6.0,-6.0,41.0,-17.0,-10.0,2.0,Sunday,3.951
625,2021-11-01,-20.0,-10.0,-17.0,-39.0,-44.0,13.0,Monday,3.951
626,2021-11-02,-18.0,-7.0,-7.0,-42.0,-43.0,14.0,Tuesday,3.924
627,2021-11-03,-18.0,-7.0,6.0,-43.0,-43.0,13.0,Wednesday,3.924
628,2021-11-04,-20.0,-10.0,-15.0,-42.0,-44.0,14.0,Thursday,3.924
629,2021-11-05,-17.0,-8.0,11.0,-40.0,-43.0,12.0,Friday,3.924
630,2021-11-06,-20.0,-14.0,-12.0,-23.0,-17.0,5.0,Saturday,3.924
631,2021-11-07,-11.0,-14.0,-24.0,-23.0,-11.0,5.0,Sunday,3.924
632,2021-11-08,-19.0,-9.0,2.0,-40.0,-43.0,13.0,Monday,3.924
633,2021-11-09,-20.0,-11.0,-11.0,-43.0,-43.0,14.0,Tuesday,3.928
634,2021-11-10,-16.0,-7.0,16.0,-40.0,-43.0,12.0,Wednesday,3.928
635,2021-11-11,-17.0,-11.0,-25.0,-44.0,-56.0,17.0,Thursday,3.928
636,2021-11-12,-21.0,-11.0,-15.0,-42.0,-46.0,14.0,Friday,3.928
637,2021-11-13,-18.0,-13.0,8.0,-20.0,-16.0,4.0,Saturday,3.928
638,2021-11-14,-16.0,-17.0,-35.0,-22.0,-12.0,5.0,Sunday,3.928
639,2021-11-15,-21.0,-11.0,-20.0,-41.0,-43.0,13.0,Monday,3.928
640,2021-11-16,-17.0,-7.0,15.0,-41.0,-42.0,13.0,Tuesday,3.942
641,2021-11-17,-17.0,-9.0,12.0,-40.0,-42.0,13.0,Wednesday,3.942
642,2021-11-18,-20.0,-10.0,-18.0,-40.0,-43.0,13.0,Thursday,3.942
643,2021-11-19,-18.0,-7.0,-1.0,-39.0,-41.0,12.0,Friday,3.942
644,2021-11-20,-18.0,-9.0,19.0,-16.0,-14.0,3.0,Saturday,3.942
645,2021-11-21,-5.0,-11.0,7.0,-13.0,-9.0,4.0,Sunday,3.942
646,2021-11-22,-17.0,-4.0,-21.0,-39.0,-44.0,12.0,Monday,3.942
647,2021-11-23,-8.0,7.0,3.0,-36.0,-45.0,12.0,Tuesday,3.931
648,2021-11-24,-3.0,27.0,7.0,-37.0,-50.0,11.0,Wednesday,3.931
649,2021-11-25,-68.0,-29.0,-28.0,-62.0,-89.0,21.0,Thursday,3.931
650,2021-11-26,-25.0,-19.0,-2.0,-51.0,-73.0,18.0,Friday,3.931
651,2021-11-27,-29.0,-22.0,-26.0,-24.0,-23.0,5.0,Saturday,3.931
652,2021-11-28,-20.0,-19.0,-27.0,-23.0,-12.0,5.0,Sunday,3.931
653,2021-11-29,-21.0,-10.0,-6.0,-39.0,-43.0,12.0,Monday,3.931
654,2021-11-30,-19.0,-8.0,-11.0,-37.0,-43.0,14.0,Tuesday,3.921
655,2021-12-01,-17.0,-6.0,6.0,-39.0,-43.0,13.0,Wednesday,3.921
656,2021-12-02,-20.0,-7.0,-13.0,-42.0,-43.0,13.0,Thursday,3.921
657,2021-12-03,-18.0,-8.0,0.0,-40.0,-42.0,12.0,Friday,3.921
658,2021-12-04,-20.0,-12.0,-23.0,-23.0,-15.0,5.0,Saturday,3.921
659,2021-12-05,-5.0,-11.0,1.0,-18.0,-8.0,4.0,Sunday,3.921
660,2021-12-06,-21.0,-10.0,-24.0,-42.0,-43.0,13.0,Monday,3.921
661,2021-12-07,-18.0,-6.0,-9.0,-44.0,-42.0,13.0,Tuesday,3.904
662,2021-12-08,-18.0,-8.0,0.0,-45.0,-42.0,13.0,Wednesday,3.904
663,2021-12-09,-18.0,-8.0,-8.0,-42.0,-42.0,13.0,Thursday,3.904
664,2021-12-10,-20.0,-10.0,-15.0,-41.0,-41.0,13.0,Friday,3.904
665,2021-12-11,-20.0,-11.0,-8.0,-22.0,-12.0,4.0,Saturday,3.904
666,2021-12-12,-13.0,-14.0,-23.0,-24.0,-7.0,4.0,Sunday,3.904
667,2021-12-13,-20.0,-9.0,-25.0,-42.0,-42.0,12.0,Monday,3.904
668,2021-12-14,-16.0,-7.0,-12.0,-40.0,-42.0,13.0,Tuesday,3.892
669,2021-12-15,-15.0,-6.0,-10.0,-40.0,-43.0,12.0,Wednesday,3.892
670,2021-12-16,-14.0,-5.0,-15.0,-38.0,-43.0,12.0,Thursday,3.892
671,2021-12-17,-15.0,-6.0,-6.0,-38.0,-42.0,12.0,Friday,3.892
672,2021-12-18,-21.0,-13.0,-30.0,-16.0,-13.0,4.0,Saturday,3.892
673,2021-12-19,-4.0,-10.0,7.0,-18.0,-6.0,2.0,Sunday,3.892
674,2021-12-20,-12.0,-3.0,-25.0,-41.0,-53.0,13.0,Monday,3.892
675,2021-12-21,-7.0,3.0,-6.0,-40.0,-53.0,14.0,Tuesday,3.88
676,2021-12-22,-8.0,6.0,-17.0,-41.0,-55.0,14.0,Wednesday,3.88
677,2021-12-23,-2.0,24.0,-3.0,-41.0,-60.0,14.0,Thursday,3.88
678,2021-12-24,-34.0,8.0,-20.0,-51.0,-77.0,19.0,Friday,3.88
679,2021-12-25,-80.0,-64.0,-44.0,-42.0,-67.0,11.0,Saturday,3.88
680,2021-12-26,-63.0,-46.0,-49.0,-40.0,-49.0,14.0,Sunday,3.88
681,2021-12-27,-46.0,-23.0,-42.0,-53.0,-78.0,27.0,Monday,3.88
682,2021-12-28,-36.0,-13.0,-35.0,-49.0,-71.0,26.0,Tuesday,3.913
683,2021-12-29,-24.0,0.0,-23.0,-47.0,-66.0,21.0,Wednesday,3.913
684,2021-12-30,-43.0,-17.0,-42.0,-55.0,-75.0,28.0,Thursday,3.913
685,2021-12-31,-35.0,-4.0,-15.0,-55.0,-76.0,25.0,Friday,3.913
686,2022-01-01,-54.0,-41.0,-34.0,-38.0,-45.0,12.0,Saturday,3.913
687,2022-01-02,-27.0,-25.0,-56.0,-25.0,-16.0,9.0,Sunday,3.913
688,2022-01-03,-26.0,-10.0,-43.0,-48.0,-56.0,19.0,Monday,3.913
689,2022-01-04,-28.0,-10.0,-27.0,-46.0,-50.0,19.0,Tuesday,3.999
690,2022-01-05,-29.0,-10.0,-25.0,-48.0,-49.0,18.0,Wednesday,3.999
691,2022-01-06,-33.0,-15.0,-39.0,-51.0,-49.0,19.0,Thursday,3.999
692,2022-01-07,-32.0,-15.0,-30.0,-53.0,-47.0,19.0,Friday,3.999
693,2022-01-08,-30.0,-16.0,-4.0,-35.0,-18.0,9.0,Saturday,3.999
694,2022-01-09,-21.0,-17.0,24.0,-33.0,-13.0,7.0,Sunday,3.999
695,2022-01-10,-31.0,-16.0,-33.0,-51.0,-48.0,17.0,Monday,3.999
696,2022-01-11,-30.0,-15.0,-29.0,-54.0,-48.0,18.0,Tuesday,4.02
697,2022-01-12,-29.0,-13.0,-8.0,-54.0,-49.0,18.0,Wednesday,4.02
698,2022-01-13,-30.0,-14.0,-3.0,-51.0,-49.0,18.0,Thursday,4.02
699,2022-01-14,-29.0,-15.0,2.0,-51.0,-48.0,17.0,Friday,4.02
700,2022-01-15,-29.0,-19.0,6.0,-34.0,-18.0,7.0,Saturday,4.02
701,2022-01-16,-21.0,-21.0,-6.0,-38.0,-15.0,6.0,Sunday,4.02
702,2022-01-17,-19.0,-12.0,18.0,-55.0,-64.0,18.0,Monday,4.02
703,2022-01-18,-30.0,-15.0,-14.0,-52.0,-47.0,17.0,Tuesday,4.017
704,2022-01-19,-30.0,-15.0,-4.0,-54.0,-47.0,17.0,Wednesday,4.017
705,2022-01-20,-30.0,-17.0,-19.0,-52.0,-47.0,17.0,Thursday,4.017
706,2022-01-21,-28.0,-15.0,6.0,-51.0,-45.0,16.0,Friday,4.017
707,2022-01-22,-28.0,-18.0,25.0,-36.0,-16.0,6.0,Saturday,4.017
708,2022-01-23,-23.0,-21.0,-12.0,-38.0,-12.0,6.0,Sunday,4.017
709,2022-01-24,-30.0,-18.0,-24.0,-53.0,-45.0,15.0,Monday,4.017
710,2022-01-25,-25.0,-15.0,2.0,-53.0,-45.0,16.0,Tuesday,4.038
711,2022-01-26,-27.0,-15.0,0.0,-54.0,-45.0,16.0,Wednesday,4.038
712,2022-01-27,-27.0,-15.0,5.0,-51.0,-45.0,15.0,Thursday,4.038
713,2022-01-28,-26.0,-15.0,10.0,-50.0,-45.0,15.0,Friday,4.038
714,2022-01-29,-25.0,-17.0,26.0,-35.0,-15.0,5.0,Saturday,4.038
715,2022-01-30,-25.0,-21.0,-31.0,-37.0,-10.0,6.0,Sunday,4.038
716,2022-01-31,-27.0,-14.0,-7.0,-50.0,-44.0,14.0,Monday,4.038
717,2022-02-01,-24.0,-11.0,1.0,-50.0,-44.0,15.0,Tuesday,4.029
718,2022-02-02,-27.0,-15.0,-9.0,-52.0,-44.0,15.0,Wednesday,4.029
719,2022-02-03,-27.0,-13.0,-15.0,-50.0,-44.0,15.0,Thursday,4.029
720,2022-02-04,-26.0,-14.0,-10.0,-49.0,-42.0,14.0,Friday,4.029
721,2022-02-05,-25.0,-16.0,16.0,-33.0,-15.0,5.0,Saturday,4.029
722,2022-02-06,-15.0,-16.0,39.0,-31.0,-9.0,4.0,Sunday,4.029
723,2022-02-07,-28.0,-15.0,-14.0,-49.0,-43.0,14.0,Monday,4.029
724,2022-02-08,-24.0,-13.0,4.0,-50.0,-43.0,14.0,Tuesday,4.028
725,2022-02-09,-24.0,-13.0,18.0,-49.0,-43.0,13.0,Wednesday,4.028
726,2022-02-10,-26.0,-12.0,-4.0,-47.0,-44.0,14.0,Thursday,4.028
